ID,diet,parentdiet,prod,time,feign,sex,survive,blenght,bwidth,hlenght,hwidth,generation,family,crossf,crossm,firstorsecond
F217xM265.10,4,2,,,N,,,,,,,O,T,217,265,1
F239xM271.2,4,2,,,N,,,,,,,O,U,239,271,1
F239xM271.3,4,2,,,N,,,,,,,O,U,239,271,1
F239xM271.4,4,2,,,N,,,,,,,O,U,239,271,1
F239xM271.5,4,2,,,N,,,,,,,O,U,239,271,1
F239xM271.6,4,2,,,N,,,,,,,O,U,239,271,1
F239xM271.7,4,2,,,N,,,,,,,O,U,239,271,1
F239xM271.10,4,2,19,,Y,,,,,,,O,U,239,271,1
F252xM215.1,4,2,,,N,,,,,,,O,V,252,215,1
F252xM215.4,4,2,,,N,,,,,,,O,V,252,215,1
F252xM215.5,4,2,2,96,Y,,,,,,,O,V,252,215,1
F252xM215.6,4,2,5,68,Y,,,,,,,O,V,252,215,1
F252xM215.7,4,2,4,91,Y,,,,,,,O,V,252,215,1
F252xM215.8,4,2,,,N,,,,,,,O,V,252,215,1
F252xM215.9,4,2,,,N,,,,,,,O,V,252,215,1
F252xM215.10,4,2,,,N,,,,,,,O,V,252,215,1
F277xM220.1,4,2,,,N,,,,,,,O,W,277,220,1
F277xM220.2,4,2,,,N,,,,,,,O,W,277,220,1
F277xM220.3,4,2,,,N,,,,,,,O,W,277,220,1
F277xM220.4,4,2,4,42,Y,,,,,,,O,W,277,220,1
F277xM220.5,4,2,,,N,,,,,,,O,W,277,220,1
F277xM220.6,4,2,,,N,,,,,,,O,W,277,220,1
F277xM220.8,4,2,8,34,Y,,,,,,,O,W,277,220,1
F277xM220.9,4,2,15,5,Y,,,,,,,O,W,277,220,1
F277xM220.10,4,2,,,N,,,,,,,O,W,277,220,1
F259xM248.1,4,2,,,N,,,,,,,O,X,259,248,1
F259xM248.2,4,2,1,42,Y,,,,,,,O,X,259,248,1
F259xM248.3,4,2,,,N,,,,,,,O,X,259,248,1
F259xM248.4,4,2,,,N,,,,,,,O,X,259,248,1
F259xM248.6,4,2,,,N,,,,,,,O,X,259,248,1
F259xM248.7,4,2,10,120,Y,,,,,,,O,X,259,248,1
F259xM248.8,4,2,,,N,,,,,,,O,X,259,248,1
F259xM248.9,4,2,,,N,,,,,,,O,X,259,248,1
F259xM248.10,4,2,,,N,,,,,,,O,X,259,248,1
F246xM266.1,4,2,2,5,Y,,,,,,,O,Y,246,266,1
F246xM266.2,4,2,12,15,Y,,,,,,,O,Y,246,266,1
F246xM266.3,4,2,,,N,,,,,,,O,Y,246,266,1
F246xM266.4,4,2,2,7,Y,,,,,,,O,Y,246,266,1
F246xM266.5,4,2,,,N,,,,,,,O,Y,246,266,1
F246xM266.6,4,2,,,N,,,,,,,O,Y,246,266,1
F246xM266.7,4,2,4,6,Y,,,,,,,O,Y,246,266,1
F246xM266.8,4,2,,,N,,,,,,,O,Y,246,266,1
F246xM266.9,4,2,2,120,Y,,,,,,,O,Y,246,266,1
F246xM266.10,4,2,,,N,,,,,,,O,Y,246,266,1
F246xM266.11,4,2,5,18,Y,,,,,,,O,Y,246,266,1
F235xM255.1,4,2,,,N,,,,,,,O,Z,235,255,1
F235xM255.2,4,2,9,26,Y,,,,,,,O,Z,235,255,1
F235xM255.3,4,2,,,N,,,,,,,O,Z,235,255,1
F235xM255.4,4,2,,,N,,,,,,,O,Z,235,255,1
F228xM269.1,4,2,,,N,,,,,,,O,AA,228,269,1
F228xM269.2,4,2,,,N,,,,,,,O,AA,228,269,1
F228xM269.3,4,2,,,N,,,,,,,O,AA,228,269,1
F228xM269.4,4,2,,,N,,,,,,,O,AA,228,269,1
F228xM269.5,4,2,,,N,,,,,,,O,AA,228,269,1
F228xM269.6,4,2,,,N,,,,,,,O,AA,228,269,1
F228xM269.7,4,2,3,15,Y,,,,,,,O,AA,228,269,1
F228xM269.8,4,2,,,N,,,,,,,O,AA,228,269,1
F228xM269.9,4,2,,,N,,,,,,,O,AA,228,269,1
F228xM269.10,4,2,13,120,Y,,,,,,,O,AA,228,269,1
F240xM275.1,4,2,5,5,Y,,,,,,,O,BB,240,275,1
F240xM275.2,4,2,18,6,Y,,,,,,,O,BB,240,275,1
F240xM275.3,4,2,3,32,Y,,,,,,,O,BB,240,275,1
F240xM275.4,4,2,,,N,,,,,,,O,BB,240,275,1
F240xM275.5,4,2,,,N,,,,,,,O,BB,240,275,1
F256xM237.1,4,2,,,N,,,,,,,O,CC,256,237,1
F256xM237.2,4,2,9,12,Y,,,,,,,O,CC,256,237,1
F256xM237.3,4,2,,,N,,,,,,,O,CC,256,237,1
F256xM237.4,4,2,,,N,,,,,,,O,CC,256,237,1
F256xM237.5,4,2,,,N,,,,,,,O,CC,256,237,1
F218xM257.1,4,2,9,61,Y,,,,,,,O,DD,218,257,1
F218xM257.2,4,2,,,N,,,,,,,O,DD,218,257,1
F218xM257.3,4,2,,,N,,,,,,,O,DD,218,257,1
F218xM257.4,4,2,14,27,Y,,,,,,,O,DD,218,257,1
F218xM257.6,4,2,,,N,,,,,,,O,DD,218,257,1
F218xM257.7,4,2,,,N,,,,,,,O,DD,218,257,1
F218xM257.10,4,2,11,120,Y,,,,,,,O,DD,218,257,1
F249xM229.1,4,2,13,2,Y,,,,,,,O,EE,249,229,1
F249xM229.2,4,2,,,N,,,,,,,O,EE,249,229,1
F249xM229.3,4,2,8,10,Y,,,,,,,O,EE,249,229,1
F249xM229.4,4,2,8,35,Y,,,,,,,O,EE,249,229,1
F249xM229.5,4,2,7,5,Y,,,,,,,O,EE,249,229,1
F249xM229.6,4,2,,,N,,,,,,,O,EE,249,229,1
F249xM229.7,4,2,,,N,,,,,,,O,EE,249,229,1
F249xM229.8,4,2,3,120,Y,,,,,,,O,EE,249,229,1
F249xM229.9,4,2,,,N,,,,,,,O,EE,249,229,1
F249xM229.10,4,2,2,92,Y,,,,,,,O,EE,249,229,1
F223xM264.1,4,2,,,N,,,,,,,O,FF,223,264,1
F223xM264.2,4,2,,,N,,,,,,,O,FF,223,264,1
F223xM264.3,4,2,,,N,,,,,,,O,FF,223,264,1
F223xM264.4,4,2,6,41,Y,,,,,,,O,FF,223,264,1
F223xM264.5,4,2,,,N,,,,,,,O,FF,223,264,1
F223xM264.6,4,2,,,N,,,,,,,O,FF,223,264,1
F223xM264.7,4,2,,,N,,,,,,,O,FF,223,264,1
F223xM264.8,4,2,,,N,,,,,,,O,FF,223,264,1
F223xM264.9,4,2,,,N,,,,,,,O,FF,223,264,1
F223xM264.10,4,2,,,N,,,,,,,O,FF,223,264,1
F221xM219.1,4,2,6,5,Y,,,,,,,O,GG,221,219,1
F221xM219.2,4,2,,,N,,,,,,,O,GG,221,219,1
F221xM219.3,4,2,7,120,Y,,,,,,,O,GG,221,219,1
F221xM219.4,4,2,,,N,,,,,,,O,GG,221,219,1
F221xM219.6,4,2,2,3,Y,,,,,,,O,GG,221,219,1
F221xM219.7,4,2,,,N,,,,,,,O,GG,221,219,1
F221xM219.8,4,2,13,18,Y,,,,,,,O,GG,221,219,1
F221xM219.10,4,2,8,15,Y,,,,,,,O,GG,221,219,1
F276xM241.1,4,2,12,120,Y,,,,,,,O,HH,276,241,1
F276xM241.2,4,2,,,N,,,,,,,O,HH,276,241,1
F276xM241.4,4,2,,,N,,,,,,,O,HH,276,241,1
F276xM241.5,4,2,,,N,,,,,,,O,HH,276,241,1
F276xM241.8,4,2,,,N,,,,,,,O,HH,276,241,1
F276xM241.9,4,2,,,N,,,,,,,O,HH,276,241,1
F276xM241.10,4,2,4,6,Y,,,,,,,O,HH,276,241,1
F245xM261.1,4,2,,,N,,,,,,,O,II,245,261,1
F245xM261.2,4,2,,,N,,,,,,,O,II,245,261,1
F245xM261.3,4,2,,,N,,,,,,,O,II,245,261,1
F245xM261.4,4,2,,,N,,,,,,,O,II,245,261,1
F245xM261.5,4,2,,,N,,,,,,,O,II,245,261,1
F245xM261.6,4,2,,,N,,,,,,,O,II,245,261,1
F245xM261.7,4,2,,,N,,,,,,,O,II,245,261,1
F245xM261.8,4,2,,,N,,,,,,,O,II,245,261,1
F244xM233.1,4,2,,,N,,,,,,,O,JJ,244,233,1
F244xM233.2,4,2,12,10,Y,,,,,,,O,JJ,244,233,1
F244xM233.8,4,2,12,28,Y,,,,,,,O,JJ,244,233,1
F244xM233.9,4,2,,,N,,,,,,,O,JJ,244,233,1
F247xM265.5,4,2,5,30,Y,,,,,,,O,KK,247,265,2
F247xM265.6,4,2,,,N,,,,,,,O,KK,247,265,2
F247xM265.10,4,2,20,91,Y,,,,,,,O,KK,247,265,2
F330xM324.1,4,3,,,N,,,,,,,O,LL,330,324,1
F330xM324.2,4,3,,,N,,,,,,,O,LL,330,324,1
F330xM324.3,4,3,3,28,Y,,,,,,,O,LL,330,324,1
F330xM324.4,4,3,19,7,Y,,,,,,,O,LL,330,324,1
F330xM324.5,4,3,,,N,,,,,,,O,LL,330,324,1
F330xM324.6,4,3,,,N,,,,,,,O,LL,330,324,1
F330xM324.7,4,3,2,3,Y,,,,,,,O,LL,330,324,1
F330xM324.8,4,3,,,N,,,,,,,O,LL,330,324,1
F330xM324.9,4,3,,,N,,,,,,,O,LL,330,324,1
F330xM324.10,4,3,,,N,,,,,,,O,LL,330,324,1
F349xM344.1,4,3,,,N,,,,,,,O,MM,349,344,1
F349xM344.2,4,3,,,N,,,,,,,O,MM,349,344,1
F349xM344.3,4,3,,,N,,,,,,,O,MM,349,344,1
F349xM344.5,4,3,,,N,,,,,,,O,MM,349,344,1
F349xM344.6,4,3,10,17,Y,,,,,,,O,MM,349,344,1
F349xM344.7,4,3,,,N,,,,,,,O,MM,349,344,1
F349xM344.8,4,3,,,N,,,,,,,O,MM,349,344,1
F349xM344.9,4,3,9,7,Y,,,,,,,O,MM,349,344,1
F349xM344.10,4,3,,,N,,,,,,,O,MM,349,344,1
F360xM352.1,4,3,5,5,Y,,,,,,,O,NN,360,352,1
F360xM352.2,4,3,10,27,Y,,,,,,,O,NN,360,352,1
F360xM352.3,4,3,7,25,Y,,,,,,,O,NN,360,352,1
F360xM352.4,4,3,13,7,Y,,,,,,,O,NN,360,352,1
F360xM352.5,4,3,2,19,Y,,,,,,,O,NN,360,352,1
F360xM352.6,4,3,,,N,,,,,,,O,NN,360,352,1
F360xM352.7,4,3,9,15,Y,,,,,,,O,NN,360,352,1
F360xM352.8,4,3,,,N,,,,,,,O,NN,360,352,1
F360xM352.9,4,3,5,42,Y,,,,,,,O,NN,360,352,1
F360xM352.10,4,3,16,68,Y,,,,,,,O,NN,360,352,1
F362xM363.1,4,3,,,N,,,,,,,O,OO,362,363,1
F362xM363.2,4,3,10,120,Y,,,,,,,O,OO,362,363,1
F362xM363.4,4,3,,,N,,,,,,,O,OO,362,363,1
F362xM363.5,4,3,,,N,,,,,,,O,OO,362,363,1
F362xM363.6,4,3,10,2,Y,,,,,,,O,OO,362,363,1
F362xM363.7,4,3,8,13,Y,,,,,,,O,OO,362,363,1
F362xM363.8,4,3,,,N,,,,,,,O,OO,362,363,1
F362xM363.9,4,3,15,35,Y,,,,,,,O,OO,362,363,1
F362xM363.10,4,3,,,N,,,,,,,O,OO,362,363,1
F365xM366.1,4,3,,,N,,,,,,,O,PP,365,366,1
F365xM366.2,4,3,4,6,Y,,,,,,,O,PP,365,366,1
F365xM366.3,4,3,4,12,Y,,,,,,,O,PP,365,366,1
F365xM366.4,4,3,,,N,,,,,,,O,PP,365,366,1
F368xM316.1,4,3,,,N,,,,,,,O,QQ,368,316,1
F368xM316.2,4,3,,,N,,,,,,,O,QQ,368,316,1
F368xM316.3,4,3,,,N,,,,,,,O,QQ,368,316,1
F368xM316.4,4,3,,,N,,,,,,,O,QQ,368,316,1
F368xM316.5,4,3,7,7,Y,,,,,,,O,QQ,368,316,1
F368xM316.6,4,3,7,21,Y,,,,,,,O,QQ,368,316,1
F368xM316.7,4,3,18,69,Y,,,,,,,O,QQ,368,316,1
F368xM316.8,4,3,,,N,,,,,,,O,QQ,368,316,1
F368xM316.9,4,3,,,N,,,,,,,O,QQ,368,316,1
F368xM316.10,4,3,,,N,,,,,,,O,QQ,368,316,1
F355xM329.1,4,3,,,N,,,,,,,O,RR,355,329,1
F355xM329.2,4,3,,,N,,,,,,,O,RR,355,329,1
F355xM329.3,4,3,,,N,,,,,,,O,RR,355,329,1
F355xM329.4,4,3,,,N,,,,,,,O,RR,355,329,1
F355xM329.5,4,3,9,24,Y,,,,,,,O,RR,355,329,1
F355xM329.6,4,3,,,N,,,,,,,O,RR,355,329,1
F355xM329.7,4,3,,,N,,,,,,,O,RR,355,329,1
F355xM329.8,4,3,,,N,,,,,,,O,RR,355,329,1
F355xM329.9,4,3,,,N,,,,,,,O,RR,355,329,1
F355xM329.10,4,3,5,118,Y,,,,,,,O,RR,355,329,1
F375xM367.1,4,3,,,N,,,,,,,O,SS,375,367,1
F375xM367.3,4,3,6,37,Y,,,,,,,O,SS,375,367,1
F375xM367.4,4,3,,,N,,,,,,,O,SS,375,367,1
F375xM367.5,4,3,,,N,,,,,,,O,SS,375,367,1
F375xM367.6,4,3,4,65,Y,,,,,,,O,SS,375,367,1
F375xM367.7,4,3,,,N,,,,,,,O,SS,375,367,1
F375xM367.9,4,3,,,N,,,,,,,O,SS,375,367,1
F375xM367.10,4,3,,,N,,,,,,,O,SS,375,367,1
F375xM367.11,4,3,1,23,Y,,,,,,,O,SS,375,367,1
F341xM340.2,4,3,,,N,,,,,,,O,TT,341,340,1
F341xM340.3,4,3,,,N,,,,,,,O,TT,341,340,1
F341xM340.4,4,3,,,N,,,,,,,O,TT,341,340,1
F341xM340.5,4,3,,,N,,,,,,,O,TT,341,340,1
F341xM340.6,4,3,,,N,,,,,,,O,TT,341,340,1
F341xM340.7,4,3,,,N,,,,,,,O,TT,341,340,1
F341xM340.8,4,3,,,N,,,,,,,O,TT,341,340,1
F341xM340.9,4,3,,,N,,,,,,,O,TT,341,340,1
F341xM340.10,4,3,,,N,,,,,,,O,TT,341,340,1
F347xM364.1,4,3,,,N,,,,,,,O,UU,347,364,1
F347xM364.3,4,3,20,12,Y,,,,,,,O,UU,347,364,1
F347xM364.4,4,3,,,N,,,,,,,O,UU,347,364,1
F347xM364.6,4,3,,,N,,,,,,,O,UU,347,364,1
F347xM364.7,4,3,,,N,,,,,,,O,UU,347,364,1
F347xM364.8,4,3,,,N,,,,,,,O,UU,347,364,1
F347xM364.9,4,3,7,29,Y,,,,,,,O,UU,347,364,1
F347xM364.10,4,3,,,N,,,,,,,O,UU,347,364,1
F342xM338.1,4,3,9,42,Y,,,,,,,O,VV,342,338,1
F342xM338.2,4,3,,,N,,,,,,,O,VV,342,338,1
F342xM338.3,4,3,,,N,,,,,,,O,VV,342,338,1
F342xM338.4,4,3,,,N,,,,,,,O,VV,342,338,1
F342xM338.5,4,3,7,38,Y,,,,,,,O,VV,342,338,1
F342xM338.7,4,3,,,N,,,,,,,O,VV,342,338,1
F342xM338.8,4,3,3,11,Y,,,,,,,O,VV,342,338,1
F342xM338.9,4,3,8,23,Y,,,,,,,O,VV,342,338,1
F342xM338.10,4,3,,,N,,,,,,,O,VV,342,338,1
F353xM328.1,4,3,2,20,Y,,,,,,,O,WW,353,328,1
F353xM328.2,4,3,12,10,Y,,,,,,,O,WW,353,328,1
F353xM328.3,4,3,10,5,Y,,,,,,,O,WW,353,328,1
F353xM328.5,4,3,,,N,,,,,,,O,WW,353,328,1
F353xM328.6,4,3,,,N,,,,,,,O,WW,353,328,1
F353xM328.7,4,3,,,N,,,,,,,O,WW,353,328,1
F353xM328.8,4,3,4,120,Y,,,,,,,O,WW,353,328,1
F353xM328.10,4,3,,,N,,,,,,,O,WW,353,328,1
F319xM334.1,4,3,1,37,Y,,,,,,,O,XX,319,334,1
F319xM334.2,4,3,5,38,Y,,,,,,,O,XX,319,334,1
F319xM334.3,4,3,0,5,Y,,,,,,,O,XX,319,334,1
F319xM334.4,4,3,8,5,Y,,,,,,,O,XX,319,334,1
F319xM334.5,4,3,20,9,Y,,,,,,,O,XX,319,334,1
F319xM334.6,4,3,3,50,Y,,,,,,,O,XX,319,334,1
F319xM334.7,4,3,13,3,Y,,,,,,,O,XX,319,334,1
F319xM334.8,4,3,5,70,Y,,,,,,,O,XX,319,334,1
F319xM334.9,4,3,,,N,,,,,,,O,XX,319,334,1
F319xM334.10,4,3,3,120,Y,,,,,,,O,XX,319,334,1
F350xM346.1,4,3,,,N,,,,,,,O,YY,350,346,1
F350xM346.2,4,3,,,N,,,,,,,O,YY,350,346,1
F350xM346.4,4,3,11,120,Y,,,,,,,O,YY,350,346,1
F350xM346.5,4,3,,,N,,,,,,,O,YY,350,346,1
F350xM346.6,4,3,13,120,Y,,,,,,,O,YY,350,346,1
F350xM346.7,4,3,7,8,Y,,,,,,,O,YY,350,346,1
F350xM346.8,4,3,,,N,,,,,,,O,YY,350,346,1
F350xM346.9,4,3,16,81,Y,,,,,,,O,YY,350,346,1
F350xM346.10,4,3,,,N,,,,,,,O,YY,350,346,1
F351xM331.1,4,3,12,10,Y,,,,,,,O,ZZ,351,331,1
F351xM331.2,4,3,,,N,,,,,,,O,ZZ,351,331,1
F351xM331.3,4,3,,,N,,,,,,,O,ZZ,351,331,1
F351xM331.5,4,3,5,12,Y,,,,,,,O,ZZ,351,331,1
F351xM331.6,4,3,,,N,,,,,,,O,ZZ,351,331,1
F351xM331.7,4,3,,,N,,,,,,,O,ZZ,351,331,1
F351xM331.8,4,3,,,N,,,,,,,O,ZZ,351,331,1
F351xM331.9,4,3,13,54,Y,,,,,,,O,ZZ,351,331,1
F351xM331.10,4,3,,,N,,,,,,,O,ZZ,351,331,1
F369xM356.6,4,3,19,62,Y,,,,,,,O,AAA,369,356,1
F369xM356.7,4,3,,,N,,,,,,,O,AAA,369,356,1
F369xM356.8,4,3,,,N,,,,,,,O,AAA,369,356,1
F369xM356.9,4,3,,,N,,,,,,,O,AAA,369,356,1
F369xM356.10,4,3,,,N,,,,,,,O,AAA,369,356,1
F377xM336.1,4,3,1,64,Y,,,,,,,O,BBB,377,336,1
F377xM336.2,4,3,15,90,Y,,,,,,,O,BBB,377,336,1
F377xM336.3,4,3,,,N,,,,,,,O,BBB,377,336,1
F377xM336.5,4,3,,,N,,,,,,,O,BBB,377,336,1
F377xM336.6,4,3,,,N,,,,,,,O,BBB,377,336,1
F377xM336.7,4,3,20,120,Y,,,,,,,O,BBB,377,336,1
F377xM336.8,4,3,13,15,Y,,,,,,,O,BBB,377,336,1
F377xM336.10,4,3,,,N,,,,,,,O,BBB,377,336,1
F381xM312.1,4,3,3,8,Y,,,,,,,O,CCC,381,312,1
F381xM312.2,4,3,,,N,,,,,,,O,CCC,381,312,1
F381xM312.3,4,3,,,N,,,,,,,O,CCC,381,312,1
F381xM312.4,4,3,9,46,Y,,,,,,,O,CCC,381,312,1
F381xM312.5,4,3,6,30,Y,,,,,,,O,CCC,381,312,1
F381xM312.6,4,3,5,16,Y,,,,,,,O,CCC,381,312,1
F381xM312.8,4,3,3,8,Y,,,,,,,O,CCC,381,312,1
F381xM312.9,4,3,,,N,,,,,,,O,CCC,381,312,1
F381xM312.10,4,3,,,N,,,,,,,O,CCC,381,312,1
F379xM313.1,4,3,1,120,Y,,,,,,,O,DDD,379,313,1
F379xM313.2,4,3,,,N,,,,,,,O,DDD,379,313,1
F379xM313.3,4,3,7,15,Y,,,,,,,O,DDD,379,313,1
F379xM313.4,4,3,12,11,Y,,,,,,,O,DDD,379,313,1
F379xM313.6,4,3,3,73,Y,,,,,,,O,DDD,379,313,1
F379xM313.7,4,3,19,52,Y,,,,,,,O,DDD,379,313,1
F379xM313.8,4,3,6,10,Y,,,,,,,O,DDD,379,313,1
F379xM313.9,4,3,13,8,Y,,,,,,,O,DDD,379,313,1
F379xM313.10,4,3,9,120,Y,,,,,,,O,DDD,379,313,1
